,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
66,81078,-7.204613514048015,117094348.48167862,S10 (SBS10a - 1.00),0.9940123392491045,S17 (SBS18 - 0.97),-214.9218712802623,S19 (SBS20 - 0.98),2004322531.992072,S13 (SBS13 - 0.99),409555.2473291536
67,60745,-9.62040655840629,62784360.97672314,S6 (SBS7a - 1.00),0.9961435940507359,S17 (SBS18 - 0.97),-228.23566107302713,S19 (SBS20 - 0.98),744751478.253137,S13 (SBS13 - 0.99),240685.2268517022
68,76605,-2.296565771675276,83551180.26570342,S10 (SBS10a - 1.00),0.9960043661340338,S17 (SBS18 - 0.97),-71.20127537357264,S19 (SBS20 - 0.98),1314986726.9306934,S13 (SBS13 - 0.99),134159.96895187823
69,84475,-5.66666943063506,313258327.3205305,S10 (SBS10a - 1.00),0.9975016553869712,S17 (SBS18 - 0.97),-156.7913902560937,S14 (SBS14 - 0.98),4134193626.84436,S13 (SBS13 - 0.99),340358.26389527565
70,73407,-1.2887934482674483,192702865.68896025,S13 (SBS13 - 0.99),0.9913546951172721,S17 (SBS18 - 0.97),-25.085241193655147,S19 (SBS20 - 0.98),4595147914.915115,S13 (SBS13 - 0.99),91964.68065638281
71,43876,-5.073594095021636,41795666.9833347,S6 (SBS7a - 1.00),0.9964513063806933,S17 (SBS18 - 0.97),-157.38538318034077,S14 (SBS14 - 0.98),519802426.47327787,S13 (SBS13 - 0.99),275948.37022871815
72,41595,-3.3472694429589565,204589114.26635292,S10 (SBS10a - 1.00),0.996246587064914,S17 (SBS18 - 0.97),-107.86134660461143,S14 (SBS14 - 0.98),1999502130.044133,S13 (SBS13 - 0.99),177367.50934629352
73,15244,-4.870674133964139,463653835.7722132,S10 (SBS10a - 1.00),0.9934075396690181,S17 (SBS18 - 0.97),-90.80757651364085,S19 (SBS20 - 0.98),8663717836.152245,S27 (SBS88 - 0.92),510653.58137791505
74,10746,-4.467127420458357,132769758.29673515,S10 (SBS10a - 1.00),0.9967439983155186,S17 (SBS18 - 0.97),-88.39120794670382,S9 (SBS9 - 0.94),1336261950.9524412,S27 (SBS88 - 0.92),394489.7269671801
75,66329,-9.894599978065708,185539173.2817827,S10 (SBS10a - 1.00),0.9909185137968043,S17 (SBS18 - 0.97),-295.1856636326164,S19 (SBS20 - 0.98),1932185395.073089,S18 (SBS19 - 0.95),329447.92554981826
76,79203,-15.27495223144621,90296028.05141082,S10 (SBS10a - 1.00),0.9945790289197031,S17 (SBS18 - 0.97),-421.63449660856963,S17 (SBS18 - 0.97),1177161701.1981735,S13 (SBS13 - 0.99),236214.6152181406
77,16736,-6.65089199318404,409935876.6256457,S10 (SBS10a - 1.00),0.9927299304789596,S17 (SBS18 - 0.97),-112.42260887476213,S19 (SBS20 - 0.98),8340020756.717693,S21 (SBS23 - 0.94),720569.3220138112
78,51750,-12.86586515013067,114029324.14847662,S10 (SBS10a - 1.00),0.9948207450962842,S17 (SBS18 - 0.97),-241.92131460210118,S9 (SBS9 - 0.94),823363617.7093217,S18 (SBS19 - 0.95),218672.49040837216
79,65085,-16.202003837708173,127251632.67397368,S10 (SBS10a - 1.00),0.9959521991524559,S17 (SBS18 - 0.97),-442.087819104548,S14 (SBS14 - 0.98),1316071221.113726,S18 (SBS19 - 0.95),604589.1860027099
80,88150,-1.9695242474036159,101946788.43787245,S10 (SBS10a - 1.00),0.9927015094586181,S17 (SBS18 - 0.97),-59.37790660439025,S19 (SBS20 - 0.98),1127347642.8627949,S18 (SBS19 - 0.95),215168.98803263743
81,96223,-7.068640338016643,182381540.61581808,S10 (SBS10a - 1.00),0.986725142385639,S17 (SBS18 - 0.97),-170.78024347020454,S14 (SBS14 - 0.98),2136075246.965869,S13 (SBS13 - 0.99),169669.83409039956
82,78881,-0.9496126324279004,343269749.0202004,S10 (SBS10a - 1.00),0.9971244893138398,S17 (SBS18 - 0.97),-29.0214873651644,S19 (SBS20 - 0.98),9029842902.934912,S18 (SBS19 - 0.95),528111.7004917167
83,58280,0.4113892875335541,64841682.73571568,S10 (SBS10a - 1.00),0.9938951914493555,S12 (SBS11 - 0.99),-1.5121840667506032,S14 (SBS14 - 0.98),1013837107.0021741,S21 (SBS23 - 0.94),287027.49678755424
84,45386,-2.8537947512412813,55070062.79926354,S10 (SBS10a - 1.00),0.9934991729901409,S17 (SBS18 - 0.97),-82.43393980314507,S19 (SBS20 - 0.98),829494060.6357841,S13 (SBS13 - 0.99),232429.8943970487
85,81245,-0.18987054782022195,42604768.59439302,S10 (SBS10a - 1.00),0.997018530823606,S17 (SBS18 - 0.97),-19.91077924150625,S19 (SBS20 - 0.98),488097518.5967034,S18 (SBS19 - 0.95),250408.69446892512
86,36692,-1.8145849635474893,38745495.07122077,S10 (SBS10a - 1.00),0.9983002042441596,S17 (SBS18 - 0.97),-50.741879075857874,S12 (SBS11 - 0.99),242395395.4186881,S13 (SBS13 - 0.99),243186.1764257499
87,78717,-0.9703630088255814,55879624.365076855,S10 (SBS10a - 1.00),0.9955129924368796,S24 (SBS31 - 0.98),-23.735176642651243,S19 (SBS20 - 0.98),719375771.3526973,S13 (SBS13 - 0.99),205894.26831819702
88,8276,-4.589031472780518,235338422.09620568,S10 (SBS10a - 1.00),0.997500134517146,S17 (SBS18 - 0.97),-131.01546778366782,S19 (SBS20 - 0.98),5603677624.916323,S21 (SBS23 - 0.94),25117.18672997648
89,11751,-2.797136833099626,74450287.3332758,S10 (SBS10a - 1.00),0.9961971646453985,S17 (SBS18 - 0.97),-90.28747903878192,S17 (SBS18 - 0.97),810580040.9945419,S18 (SBS19 - 0.95),367180.53349157085
90,35359,-5.400469969558229,31287050.3410661,S10 (SBS10a - 1.00),0.996559558653335,S17 (SBS18 - 0.97),-165.39187486591902,S17 (SBS18 - 0.97),303432377.91134316,S18 (SBS19 - 0.95),243498.65100109382
91,86385,-2.976543674317287,114497973.90265761,S10 (SBS10a - 1.00),0.9864105093338794,S17 (SBS18 - 0.97),-71.34152631701653,S19 (SBS20 - 0.98),718908220.6206995,S13 (SBS13 - 0.99),361206.5966432025
92,60911,-4.327102037493954,204490003.51033145,S10 (SBS10a - 1.00),0.9950484094677831,S9 (SBS9 - 0.94),-100.3152316826147,S9 (SBS9 - 0.94),2263349127.860568,S16 (SBS17 - 0.99),552144.6600838306
93,26598,-0.5399573606708401,95974948.767056,S6 (SBS7a - 1.00),0.9949717548777564,S18 (SBS19 - 0.95),-16.045634497578384,S14 (SBS14 - 0.98),1363276025.5277252,S13 (SBS13 - 0.99),360310.95938529505
94,83772,-3.006037613726672,152710112.7244521,S10 (SBS10a - 1.00),0.9971282558126929,S17 (SBS18 - 0.97),-95.41467100348098,S14 (SBS14 - 0.98),2278112521.0625515,S18 (SBS19 - 0.95),348986.5335687711
95,60880,-2.1476987137577153,156346301.81472108,S6 (SBS7a - 1.00),0.9938059936803024,S17 (SBS18 - 0.97),-71.51487437336564,S12 (SBS11 - 0.99),1044391040.0992092,S18 (SBS19 - 0.95),467469.2443850585
96,94629,-8.881619277520098,98960197.19274326,S10 (SBS10a - 1.00),0.9961285802978954,S17 (SBS18 - 0.97),-238.73799753803695,S14 (SBS14 - 0.98),917697114.6320412,S21 (SBS23 - 0.94),404344.2326794421
97,92620,-10.519757336607116,125831537.88439417,S10 (SBS10a - 1.00),0.9905897812261685,S17 (SBS18 - 0.97),-283.7746503155826,S9 (SBS9 - 0.94),746904668.3107458,S13 (SBS13 - 0.99),366753.06369521597
98,49426,-9.367283551694651,188699753.2326111,S10 (SBS10a - 1.00),0.995512164397672,S17 (SBS18 - 0.97),-246.12109619415523,S19 (SBS20 - 0.98),3254605478.6744976,S21 (SBS23 - 0.94),104104.73364800641
99,99341,-15.78323056578739,194009945.34971046,S10 (SBS10a - 1.00),0.9980850561088882,S17 (SBS18 - 0.97),-445.09138847439436,S19 (SBS20 - 0.98),3216220101.4411125,S18 (SBS19 - 0.95),432106.42822333326
