,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
75,50231,-0.05398292754366806,216810261.78134817,S23 (SBS28 - 0.96),-0.000593348150542683,S3 (SBS3 - 0.97),-0.26694254289068287,S10 (SBS10a - 1.00),3180311027.810059,S24 (SBS31 - 0.98),186205.17371057696
76,86385,-0.05014203396636144,256575812.73029822,S11 (SBS10d - 0.98),-0.0009923928444803831,S5 (SBS5 - 0.98),-0.28872466342318104,S10 (SBS10a - 1.00),5390582053.521205,S21 (SBS23 - 0.94),115992.62795194527
77,54129,-0.0538964028912411,270501364.9980094,S12 (SBS11 - 0.99),-0.001075946111329662,S5 (SBS5 - 0.98),-0.3058130630697731,S10 (SBS10a - 1.00),5954230116.237833,S21 (SBS23 - 0.94),89065.0461343613
78,19067,-0.047136748859705896,191459759.41240573,S12 (SBS11 - 0.99),-0.0014656119807059387,S5 (SBS5 - 0.98),-0.24573190795860222,S10 (SBS10a - 1.00),4245728323.91409,S18 (SBS19 - 0.95),130104.55153363754
79,33062,-0.0515960810854965,206261993.44670525,S11 (SBS10d - 0.98),-0.0009432489437048996,S3 (SBS3 - 0.97),-0.24140829677231923,S10 (SBS10a - 1.00),3767885301.8609467,S18 (SBS19 - 0.95),65268.28786710247
80,60483,-0.058117195319237085,163570999.43684545,S19 (SBS20 - 0.98),-0.0006656201629562375,S5 (SBS5 - 0.98),-0.3020794724873883,S10 (SBS10a - 1.00),2792215379.297441,S21 (SBS23 - 0.94),67919.79490468964
81,57307,-0.05206883639671561,325022457.01614994,S23 (SBS28 - 0.96),-0.00185040941631609,S5 (SBS5 - 0.98),-0.280994429322841,S10 (SBS10a - 1.00),7523894175.388797,S18 (SBS19 - 0.95),70133.98415947532
82,26027,-0.0468448971687855,244407633.16552106,S23 (SBS28 - 0.96),-0.000568918427626075,S3 (SBS3 - 0.97),-0.27826210070533075,S10 (SBS10a - 1.00),5383546496.898984,S21 (SBS23 - 0.94),186158.9379095054
83,66533,-0.037747482146349064,420769225.167816,S12 (SBS11 - 0.99),-0.0014481719012002792,S5 (SBS5 - 0.98),-0.23329900287354932,S10 (SBS10a - 1.00),9429047137.74695,S24 (SBS31 - 0.98),245806.45653021487
84,73666,-0.058450799993181264,173085747.12027815,S23 (SBS28 - 0.96),-0.0006807215130260058,S5 (SBS5 - 0.98),-0.2995108035062235,S10 (SBS10a - 1.00),3625478305.150345,S18 (SBS19 - 0.95),72595.46822938632
85,36032,-0.0555109911207059,275281361.56472874,S21 (SBS23 - 0.94),-0.0014571806960674838,S5 (SBS5 - 0.98),-0.2984535138980653,S10 (SBS10a - 1.00),6064172567.000843,S24 (SBS31 - 0.98),308750.85200527805
86,13068,-0.05619415749913129,177269198.5178861,S23 (SBS28 - 0.96),-0.0009209858755341305,S5 (SBS5 - 0.98),-0.3120520899255492,S10 (SBS10a - 1.00),3678428882.570334,S21 (SBS23 - 0.94),62304.16814486038
