,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
0,34828,0.6742376146864137,13249251.61639682,S10 (SBS10a - 1.00),0.9984630977896886,S24 (SBS31 - 0.98),-0.8362025626335372,S19 (SBS20 - 0.98),216048630.02549705,S13 (SBS13 - 0.99),115734.42169454569
1,46377,0.5519751063821748,9917981.634115525,S10 (SBS10a - 1.00),0.9993313253477422,S25 (SBS32 - 0.94),-1.4269238005376002,S19 (SBS20 - 0.98),55845480.95669858,S13 (SBS13 - 0.99),167348.512123767
2,69765,0.724580654489043,10145534.799054883,S10 (SBS10a - 1.00),0.9993261140847739,S24 (SBS31 - 0.98),-0.7448557508196256,S14 (SBS14 - 0.98),81453161.24350628,S13 (SBS13 - 0.99),108512.86836527401
3,5374,0.7756632055296064,17633326.21631784,S10 (SBS10a - 1.00),0.9975087345864321,S8 (SBS8 - 0.92),-0.09656361392831525,S14 (SBS14 - 0.98),199624411.63467202,S13 (SBS13 - 0.99),93445.91211636008
4,87732,-2.0691349353913076,20801388.174419425,S10 (SBS10a - 1.00),0.9990778388711643,S24 (SBS31 - 0.98),-75.54052795192882,S24 (SBS31 - 0.98),192255591.8521052,S13 (SBS13 - 0.99),98182.52334256106
5,38783,-0.5939864777090306,20987078.430832356,S10 (SBS10a - 1.00),0.9978913071238534,S24 (SBS31 - 0.98),-40.02415188072123,S23 (SBS28 - 0.96),227369963.80983967,S21 (SBS23 - 0.94),34831.96806765674
6,30059,0.8233959356619555,13869938.008506225,S10 (SBS10a - 1.00),0.9988907802227984,S14 (SBS14 - 0.98),0.46682815186453397,S23 (SBS28 - 0.96),151683516.3502617,S21 (SBS23 - 0.94),75237.34777085112
7,90637,0.6536196714486416,11309855.725876594,S10 (SBS10a - 1.00),0.9991163669400206,S18 (SBS19 - 0.95),-1.2731524383982973,S14 (SBS14 - 0.98),74534419.16713858,S21 (SBS23 - 0.94),74470.78008803377
8,7418,0.8284141237397521,9213414.627607958,S10 (SBS10a - 1.00),0.9993784129568646,S18 (SBS19 - 0.95),0.12332868874360303,S14 (SBS14 - 0.98),88102052.85990693,S13 (SBS13 - 0.99),140999.52118594886
9,72323,0.5711963711779432,10674677.571323935,S10 (SBS10a - 1.00),0.998386247857952,S18 (SBS19 - 0.95),-2.4752670044694316,S19 (SBS20 - 0.98),86986294.04914714,S13 (SBS13 - 0.99),147218.52360170323
10,22998,0.8037568495002213,22655032.695905622,S10 (SBS10a - 1.00),0.998995296573409,S24 (SBS31 - 0.98),-0.25209241003832794,S19 (SBS20 - 0.98),288907035.11354524,S13 (SBS13 - 0.99),87723.3420929226
11,48706,0.5186272985241404,19672123.491766684,S10 (SBS10a - 1.00),0.998838257908687,S27 (SBS88 - 0.92),-3.6837954132231676,S14 (SBS14 - 0.98),310707324.0997946,S13 (SBS13 - 0.99),169380.1162572308
12,45195,0.7572719452204091,13161769.378618238,S10 (SBS10a - 1.00),0.999092164570599,S18 (SBS19 - 0.95),-1.2175935551776638,S14 (SBS14 - 0.98),138400404.24264345,S21 (SBS23 - 0.94),84123.59434192005
13,20357,-2.378459334484364,23256784.160251886,S10 (SBS10a - 1.00),0.999184730037312,S24 (SBS31 - 0.98),-84.65135102814536,S24 (SBS31 - 0.98),289534946.46702516,S13 (SBS13 - 0.99),163707.57847256694
14,94706,0.5318077992284133,15848229.221599633,S10 (SBS10a - 1.00),0.9978143769355837,S17 (SBS18 - 0.97),-4.240993268460106,S14 (SBS14 - 0.98),161364955.20649058,S13 (SBS13 - 0.99),87965.09911014215
15,91181,0.6846320522990337,11550260.977090476,S10 (SBS10a - 1.00),0.9988780151635684,S27 (SBS88 - 0.92),-2.5097447976230707,S23 (SBS28 - 0.96),198982657.04980212,S13 (SBS13 - 0.99),81595.3161686429
16,80637,0.7972481116764277,10000882.994742772,S6 (SBS7a - 1.00),0.9965417958258425,S18 (SBS19 - 0.95),-0.3404858499042598,S14 (SBS14 - 0.98),95278649.20467947,S13 (SBS13 - 0.99),87123.44624343266
17,62798,-5.91783294622277,19321580.49011213,S10 (SBS10a - 1.00),0.9992454617070772,S24 (SBS31 - 0.98),-189.52572212943542,S24 (SBS31 - 0.98),365454036.02781045,S18 (SBS19 - 0.95),113703.70078219169
18,59489,0.7582729358142141,6606865.653620484,S10 (SBS10a - 1.00),0.9983757015035649,S18 (SBS19 - 0.95),-1.6468001892020823,S14 (SBS14 - 0.98),84470986.98696256,S13 (SBS13 - 0.99),91040.42723641379
19,80295,-2.4593986595579107,26994961.57176999,S10 (SBS10a - 1.00),0.9991704414775708,S24 (SBS31 - 0.98),-91.33731734496614,S24 (SBS31 - 0.98),288374339.61373305,S21 (SBS23 - 0.94),58355.17032537535
20,12008,0.8029341960222425,18067246.47780867,S10 (SBS10a - 1.00),0.9987816664607374,S24 (SBS31 - 0.98),0.4475432897498802,S14 (SBS14 - 0.98),342258527.43822527,S13 (SBS13 - 0.99),112439.94378924536
21,86016,0.8110964436765662,6239898.6694064075,S10 (SBS10a - 1.00),0.9979256235307588,S24 (SBS31 - 0.98),0.2875037203028361,S14 (SBS14 - 0.98),61394085.279316954,S21 (SBS23 - 0.94),160179.4870676609
22,97689,-0.0898167650581877,18421064.643795695,S6 (SBS7a - 1.00),0.9959027282050217,S23 (SBS28 - 0.96),-26.110166088973006,S23 (SBS28 - 0.96),206044077.67386934,S13 (SBS13 - 0.99),153375.0784565365
23,39015,0.783727991238776,9926387.266739352,S10 (SBS10a - 1.00),0.9990110338985633,S25 (SBS32 - 0.94),0.12078890096401507,S14 (SBS14 - 0.98),146970793.88676813,S18 (SBS19 - 0.95),233423.20387972984
24,22463,0.8058749861159131,8756249.213776998,S10 (SBS10a - 1.00),0.9987797068612039,S3 (SBS3 - 0.97),0.03187227263580206,S14 (SBS14 - 0.98),113888252.5754773,S13 (SBS13 - 0.99),135502.19623461424
25,12180,0.7207995498388357,3851886.934732089,S10 (SBS10a - 1.00),0.9990671001743279,S18 (SBS19 - 0.95),-1.8475401491044994,S14 (SBS14 - 0.98),32392258.710329477,S13 (SBS13 - 0.99),159885.38145928073
26,48787,0.4659354497269266,19127494.20403568,S10 (SBS10a - 1.00),0.9980464732842144,S24 (SBS31 - 0.98),-6.129961703385112,S19 (SBS20 - 0.98),205406838.3378652,S13 (SBS13 - 0.99),152736.23045993873
27,38142,-1.126681320286981,16127962.073290512,S6 (SBS7a - 1.00),0.9978431446318762,S24 (SBS31 - 0.98),-51.81272540195536,S14 (SBS14 - 0.98),127267240.90213203,S13 (SBS13 - 0.99),228526.39424647277
28,65208,0.8022000290676701,6928296.835364533,S10 (SBS10a - 1.00),0.998501124984366,S18 (SBS19 - 0.95),-0.01778932977673553,S19 (SBS20 - 0.98),61286061.0357546,S13 (SBS13 - 0.99),190699.66843702103
29,85761,-18.840353411337798,24852775.062125277,S10 (SBS10a - 1.00),0.9988285710266283,S24 (SBS31 - 0.98),-569.2378011042503,S24 (SBS31 - 0.98),538297130.8622148,S13 (SBS13 - 0.99),107583.5351999028
30,86186,0.621523301498938,8421980.549209367,S10 (SBS10a - 1.00),0.9985079659255881,S27 (SBS88 - 0.92),-5.876705964850515,S14 (SBS14 - 0.98),67224406.78200321,S13 (SBS13 - 0.99),81100.70018164004
31,24711,0.6016424758391397,13773370.020226443,S10 (SBS10a - 1.00),0.9975267859348711,S25 (SBS32 - 0.94),-2.462275739932589,S19 (SBS20 - 0.98),169413995.16018012,S21 (SBS23 - 0.94),71225.83358708768
32,34181,-0.17180838686164723,8895436.918113146,S10 (SBS10a - 1.00),0.9991297837895686,S24 (SBS31 - 0.98),-27.882687319980725,S14 (SBS14 - 0.98),73347955.77712497,S21 (SBS23 - 0.94),125991.07082632261
33,14210,0.38452571013010334,16399146.721288895,S10 (SBS10a - 1.00),0.9986211127536019,S27 (SBS88 - 0.92),-8.696513016826518,S23 (SBS28 - 0.96),122765326.43408397,S13 (SBS13 - 0.99),96249.90973115989
34,42450,0.7589128627096036,15918963.676036753,S10 (SBS10a - 1.00),0.998554076749135,S18 (SBS19 - 0.95),-0.12783707285700996,S23 (SBS28 - 0.96),176025742.5930203,S13 (SBS13 - 0.99),84376.27463030984
35,95832,0.6172587144377124,15900229.402360402,S10 (SBS10a - 1.00),0.9976556110665487,S27 (SBS88 - 0.92),-3.8346998208285576,S14 (SBS14 - 0.98),292216800.10445166,S13 (SBS13 - 0.99),212480.36942786255
36,5642,0.7074525685701911,19044238.313265316,S10 (SBS10a - 1.00),0.9977208669319747,S23 (SBS28 - 0.96),-0.24907770014155273,S19 (SBS20 - 0.98),177279556.69020897,S13 (SBS13 - 0.99),114914.58026414673
37,30018,0.783317858986803,26688502.51603243,S10 (SBS10a - 1.00),0.9988036865934574,S28 (SBS92 - 0.95),-0.21845045042239475,S23 (SBS28 - 0.96),545238170.492966,S21 (SBS23 - 0.94),31225.783450167564
38,79526,0.533181459747293,13511421.935200425,S6 (SBS7a - 1.00),0.9979975126945149,S27 (SBS88 - 0.92),-5.809485378367412,S19 (SBS20 - 0.98),215729890.4279157,S21 (SBS23 - 0.94),54098.173684381196
39,61166,0.606398830904205,7016209.6506334515,S10 (SBS10a - 1.00),0.9990605228554243,S18 (SBS19 - 0.95),-4.79862863794656,S14 (SBS14 - 0.98),77685251.0793051,S13 (SBS13 - 0.99),69038.32192271178
40,94986,0.2694567366326476,12563207.440962298,S6 (SBS7a - 1.00),0.9969035023713466,S25 (SBS32 - 0.94),-11.898646533222875,S19 (SBS20 - 0.98),157251393.60985595,S21 (SBS23 - 0.94),68244.77167709226
41,28687,0.6422414129787,7629234.124159538,S10 (SBS10a - 1.00),0.9988634105299266,S5 (SBS5 - 0.98),-2.1434066922327037,S14 (SBS14 - 0.98),45233179.42233161,S21 (SBS23 - 0.94),51386.54585810344
42,24356,0.7798890457818352,10012725.62965338,S10 (SBS10a - 1.00),0.9987139026360866,S3 (SBS3 - 0.97),-0.7234958916667626,S14 (SBS14 - 0.98),75362791.12747097,S13 (SBS13 - 0.99),147160.73174817878
43,15583,0.7982543160804925,14646299.42078727,S10 (SBS10a - 1.00),0.9988100308912968,S18 (SBS19 - 0.95),-0.0973135200142714,S14 (SBS14 - 0.98),170576617.02791938,S21 (SBS23 - 0.94),59503.023986861925
