Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
03b5268e-881e-49e7-824f-170c3fc8b11b	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03c3c692-8a86-4843-85ae-e045f0fa6f88	122	52	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0
03c88506-d72e-4a44-a34e-a7f0564f1799	0	0	0	65	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03ced0ce-186a-4349-8d98-572c2bc90382	60	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
03cff38d-7e29-4409-a508-749bddb1b3df	141	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
041e3b42-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	47	0	0	0	0	0	0	0	0	0	169	0
04339769-517c-448d-a7ca-951f83608c60	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0448206f-3ade-4087-b1a9-4fb2d14e1367	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
046d7386-95c8-4501-9e55-c85bec272a7a	50	13	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04aa6b77-8074-480c-872e-a1a47afa5314	0	0	0	0	0	23121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04b570c2-3224-4e9b-81cc-089b4a7ff07a	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
04c09376-8756-41d9-bbca-f464170a8cfb	0	0	0	0	0	2277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04db8bef-8777-48ac-bc2e-3c9acb103f48	42	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05070acd-3ec1-44bb-9c32-26d3a483a72a	121	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
052665d1-ab75-4f40-be5a-b88154c8beed	86	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05486349-24a4-4931-bf5f-c9fefe369af2	179	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0554ffe5-31f7-43f5-8372-2b73c9cf3527	0	0	0	0	0	42	0	0	0	0	0	0	0	46	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0
05616329-e7ba-4efd-87b1-d79cd0f7af3d	51	0	0	0	91	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05780d48-80e7-4d70-b00c-081f8a9519f2	771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2082	0	0	0
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
05da3161-1444-4188-914d-19762de3a443	25	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	19	0	0
062e96d4-c623-11e3-bf01-24c6515278c0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	74	0	0	0	0	120	0	0
063cfacf-9933-4a2d-8921-0aeb76e12779	33	0	0	0	28	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	78	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	0	0	0	0	117	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
075fc96d-6742-4ef3-9369-482592ad3a2f	62	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
07835447-5d7e-4828-80fd-89b063989c9a	67	0	0	0	149	0	0	0	0	0	0	0	0	0	49	43	0	0	0	0	0	0	0	0	0	0	0	0	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	150	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	73	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07e0e938-f61f-477a-92a2-5b7e74b78943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	154	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	53	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	376	0	0	0	0	0	0	0	0	0	0	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	0	107	233	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0831e45e-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0
