Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
2660825c-68f0-4631-948e-6da158edbe9e	81	0.659	78.762	97.237%	11.408	82.545%	1000.0	0.469
267a9862-17bd-4056-ba4a-1f373736ffbb	151	0.827	90.566	59.977%	12.377	57.897%	1000.0	0.628
26c301a6-a597-4c24-9f6c-2293e5ae41c7	81	0.765	65.52	80.889%	9.34	64.606%	0.58996	0.624
27847313-3b1e-47f2-84f1-acadaf265cf3	53	0.738	50.302	94.909%	6.439	67.499%	0.76729	0.575
278b2498-1d64-493b-ac43-3489ec86f313	97	0.869	61.926	63.841%	9.314	51.824%	0.41186	0.814
2790b964-63e3-49aa-bf8c-9a00d3448c25	11505	0.995	1622.628	14.104%	409.16	10.007%	1000.0	0.995
27b56bf2-7a9d-4061-98d4-61fe2761578c	1318	0.99	291.276	22.1%	53.997	16.366%	0.05274	0.989
27f87d1e-2c32-4beb-9677-62f7a286673d	127	0.88	70.69	55.661%	10.294	47.944%	0.36574	0.805
27fcccdc-c622-11e3-bf01-24c6515278c0	619	0.896	278.663	45.018%	38.243	44.52%	0.18884	0.758
2828e5e6-c623-11e3-bf01-24c6515278c0	642	0.904	290.84	45.302%	39.334	42.922%	0.20638	0.793
282b45ee-4af2-4c61-9acc-286eaf8d661a	302	0.884	137.812	45.633%	19.24	47.223%	0.21151	0.711
28839c75-90a8-493f-b658-8c63e0ebd324	2957	0.997	430.808	14.569%	84.937	8.666%	1000.0	0.997
289790a5-77bd-49a9-a1ec-478a8ecacd7f	99	0.857	68.46	69.152%	9.177	52.72%	0.51419	0.782
28e81540-4744-4865-b627-c7c9d8a3c2b8	409	0.951	174.295	42.615%	28.496	35.617%	0.1739	0.939
28f41a20-b6d6-4ecc-888f-72f779ad9af7	160	0.788	113.212	70.758%	15.533	61.885%	0.47975	0.595
28f8d45f-4763-472e-9c4d-6787ba00164b	70	0.719	64.073	91.533%	8.973	73.264%	0.8489	0.564
29127cde-548f-4c42-96cf-6f0020c3db9a	60	0.63	60.787	101.312%	8.362	79.013%	0.90432	0.367
293a2f0a-4846-4c7c-b8b1-bb741c8d3275	2402	0.986	686.841	28.595%	158.483	23.239%	1000.0	0.985
29548b5f-c88a-4908-8c46-e86483e75067	152	0.805	101.882	67.028%	13.013	62.609%	0.4912	0.563
295aac88-c623-11e3-bf01-24c6515278c0	332	0.905	153.242	46.157%	20.505	42.571%	0.21613	0.803
29a00d78-b9bb-4c6b-b142-d5b8bfa63455	122	0.851	87.964	72.102%	12.989	57.629%	0.52566	0.794
