Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
13c312ec-0add-4758-ab8d-c193e2e08c6d	49	0.738	45.957	93.79%	7.108	69.367%	0.80035	0.646
13c7065e-6780-4571-978e-a7c13078ff50	14	0.4	21.419	152.993%	3.673	98.165%	2.06185	0.258
13d05f7a-e16a-40ef-9a15-21257da2cf89	35	0.482	48.575	138.786%	7.507	97.733%	1.57661	0.322
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	280	0.888	133.065	47.523%	19.622	46.64%	0.20431	0.788
140d6ef7-0217-4d16-9add-215d0d14ba06	57	0.77	46.561	81.686%	6.552	63.941%	0.68664	0.635
141918cd-3e23-45bc-96e1-b208c80f69e7	128	0.8	88.155	68.871%	11.631	60.142%	1000.0	0.588
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	1201	0.993	228.771	19.048%	53.367	12.013%	1000.0	0.992
14334aea-2dae-428c-9d4a-1a37878dfc3f	307	0.876	160.303	52.216%	25.113	53.311%	0.27756	0.798
1447c8cb-25d4-4092-8919-4df08f898d2d	77	0.757	68.138	88.491%	10.091	71.533%	0.76003	0.654
145f2b89-8878-4390-b0f6-f09b02fb138a	54	0.794	45.182	83.67%	6.378	64.428%	0.66011	0.703
145f6dbb-9744-44f7-8485-e440689de3fd	71	0.817	49.662	69.946%	6.851	57.696%	0.50023	0.685
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	1059	0.987	384.77	36.333%	103.913	33.492%	1000.0	0.99
147e3496-514e-4da7-be42-7cd9be78ed04	19	0.65	23.677	124.616%	3.972	76.441%	1.36674	0.576
148536ce-ee2a-4952-a19d-10d6f44146b9	45	0.815	42.034	93.409%	5.705	59.158%	0.8407	0.757
1494bb16-f1f0-42a4-b10e-c383574cbc8b	222	0.873	112.689	50.761%	15.279	49.261%	0.27199	0.713
14bf9bfb-14d6-4cac-a556-828f680e8a15	501	0.943	178.222	35.573%	25.057	34.057%	0.14918	0.891
14c5b81d-da49-4db1-9834-77711c2b1d38	48675	0.998	6599.747	13.559%	1762.869	10.312%	1000.0	0.998
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	35	0.761	38.11	108.886%	5.776	64.985%	1.08689	0.706
14dd86c1-dfb3-4124-a453-4d64223bc048	89	0.642	77.505	87.084%	10.909	77.723%	1000.0	0.239
14ed7388-41ed-43d4-afb2-04cd6410d5d2	85	0.839	61.295	72.112%	7.736	54.566%	0.52077	0.728
14f41457-25c3-4979-8515-4f33322039a5	23	0.552	27.62	120.087%	5.402	86.501%	1.93516	0.456
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	1209	0.968	577.626	47.777%	137.78	48.252%	1000.0	0.972
154f80bd-984c-4792-bb89-20c4da0c08e0	5200	0.994	1390.653	26.743%	364.051	17.09%	1000.0	0.994
15563a10-47a8-401d-a507-2c7101f7ae60	38	0.579	45.283	119.166%	7.065	82.129%	1.1382	0.419
155873b2-e5de-405f-87f6-6de0d238b160	391	0.934	170.703	43.658%	26.139	37.022%	1000.0	0.905
15678c3d-ce61-454d-849e-1d4ca358909b	240	0.872	117.361	48.9%	16.286	50.944%	0.22798	0.698
15895218-c623-11e3-bf01-24c6515278c0	305	0.847	189.671	62.187%	25.466	53.344%	1000.0	0.715
15a93657-0521-430a-a816-bf0842374b75	87	0.709	73.319	84.275%	10.126	71.423%	1000.0	0.46
