,"S1 (SBS1 - 0.99)","S2 (SBS2 - 0.99)","S3 (SBS3 - 0.97)","S4 (SBS4 - 0.98)","S5 (SBS5 - 0.98)","S6 (SBS7a - 1.00)","S7 (SBS7b - 0.96)","S8 (SBS8 - 0.92)","S9 (SBS9 - 0.94)","S10 (SBS10a - 1.00)","S11 (SBS10d - 0.98)","S12 (SBS11 - 0.99)","S13 (SBS13 - 0.99)","S14 (SBS14 - 0.98)","S15 (SBS15 - 0.97)","S16 (SBS17 - 0.99)","S17 (SBS18 - 0.97)","S18 (SBS19 - 0.95)","S19 (SBS20 - 0.98)","S20 (SBS22 - 0.99)","S21 (SBS23 - 0.94)","S22 (SBS26 - 0.94)","S23 (SBS28 - 0.96)","S24 (SBS31 - 0.98)","S25 (SBS32 - 0.94)","S26 (SBS44 - 0.97)","S27 (SBS88 - 0.92)","S28 (SBS92 - 0.95)","S29 (SBS97 - 0.95)"
"0009b464-b376-4fbc-8a56-da538269a02f",1488.73135135384,1071.0839610874,5120.58407591684,852.166345179019,704.128835237284,0.418344542288654,0,2565.39976765927,0,0,0,0,646.814072444402,0,450.046949437712,148.446024071819,1029.07787296794,0,0,669.639778186651,0,0,0,833.047176185322,271.294896196456,0,0,0,0
"00493087-9d9d-40ca-86d5-936f1b951c93",1465.81324032661,0,0,0,757.431072139566,0,0,0,0,0,0,0,0,0,0,0,0,47.9776396266984,0,0,133.641964667511,105.664487286243,0,0,0,0,91.3224327508833,0,0
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",599.194399894912,48.2571945227137,0,168.39776434919,958.537387031706,71.3009834992984,88.4762778848892,0,0,0,0,0,26.8412173877908,0,0,0,0,118.469413972021,0,0,0,0,0,0,0,0,2.72289723597294,0,0
"005794f1-5a87-45b5-9811-83ddf6924568",482.775982181703,104.134961005305,1242.39792619763,435.787525289196,361.768377482006,118.232194224957,60.6079336284128,254.882312613741,0,0,84.9872191286767,0,40.3710254860885,0,6.2994830805756,43.0681356697405,117.550184180849,0,0,130.856726489958,226.944266053388,0,84.2888273115581,0,243.115057291241,0,0,726.496429732043,0
"005e85a3-3571-462d-8dc9-2babfc7ace21",788.544967831254,0,0,0,64.2384005883295,15.9541040868998,0,0,0,0,0,0,0,0,0,0,25.4716666721565,0,0,0,0,0,0,0,7.24448822509608,120.094335957979,0,0,0
"008aef39-0c97-48ce-9dfd-f12d67116c59",1412.39003832728,22.7342070915322,18.8912826516691,152.559620537457,86.2977604557677,60.2091644111348,0,89.9821020335376,170.829877882559,0,0,8.29234957895307,4.81094407905752,0,164.273110935966,0,177.058654123218,0,0,0,0,0,24.6522780372269,0,0,0,46.2966870923969,465.707113816371,0
"008bad10-d41b-4bbb-86fa-9976ecea46b1",1493.39824034888,15.1257290073995,0,0,179.408980160666,4.55849384193694,0,0,0,0,0,5.65305755873743,1.02492180865566,0,0,0,0,0,0,0,1.00768907829348,0,0,0,0,70.9426527104066,0,0,0
"00aa769d-622c-433e-8a8a-63fb5c41ea42",0,0,0,0,0,160.926104117401,0,0,0,257439.961847752,8533.52771397546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",1259.52718260551,49.9654573750831,0,0,347.765522391713,18.6603098033182,0,0,1695.68204001288,0,0,0,0,0,0,86.3473740120485,0,0,13.8793134299323,0,0,193.346303902168,0,0,88.2187670495833,0,94.7474283602046,0,0
"00bf0350-8c7c-4b9e-8143-13ea2dc1122f",198.299021682202,120.365929310459,1068.5136136589,452.003116013551,0,174.118315059516,8.33512023682758,0,352.119569392742,0,0,0,68.3782233498611,0,7.550837987136,11.7844367081363,543.019540526208,73.5654875758142,0,0,0,0,79.1922561878646,0,136.83124149096,83.8292054048601,79.3767099324623,824.969348846011,0
"00c27940-c623-11e3-bf01-24c6515278c0",15.4109658083041,159.865428332024,0,3867.9834162778,3856.42572247503,153.462934448544,48.8963924926233,1535.73386047149,0,0,0,0,0,0,0,0,0,685.707152234023,0,0,0,1797.35107122218,0,0,0,11.2414032861475,727.981912555555,2973.5069792205,98.3539386978636
"00db1b95-8ca3-4cc4-bb46-6b8c8019a7c7",1251.82112379839,304.742346753511,2048.43838287423,258.893902531978,235.414184581146,149.753835866127,89.4654394925088,490.998319698746,214.452643396543,0,207.436653540797,0,138.640315775032,0,69.919052730641,87.4036004486751,60.0591250975975,0,0,0,85.7638375907275,0,194.262826653194,0,0,286.566460138583,347.540244780015,1438.62604825087,0
